seed,d_z,rung,K,E_inf,E_train,ce_bits,wall_train,wall_infer,diag_grad,diag_halvings,analytic_floor,min_atom_dist
4,8,i_linear,9,23,119519125,0.0916636158561714,0.020507335662841797,0.0032100677490234375,1.9708047932663814e-17,0,0.09044988313537625,0.4390351804864379
4,8,ii_twolayer,641,1351,243372300000,2.7591546362895502e-05,13.391311883926392,0.06273841857910156,2.338433624779385e-05,2,0.09044988313537625,0.4390351804864379
4,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6823623180389404,1.0,0,0.09044988313537625,0.4390351804864379
5,8,i_linear,9,23,119519125,0.2235112030235818,0.021430253982543945,0.0034568309783935547,3.311225167873451e-17,0,0.22332596558774218,0.5088887673655155
5,8,ii_twolayer,641,1351,243372300000,0.0001321237092620214,13.15809416770935,0.06324100494384766,0.00011505818964711749,0,0.22332596558774218,0.5088887673655155
5,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6763041019439697,1.0,0,0.22332596558774218,0.5088887673655155
6,8,i_linear,9,23,119519125,0.5560479026349608,0.022639751434326172,0.0039577484130859375,2.8905846358000253e-17,0,0.5540300557611881,0.3867371307387967
6,8,ii_twolayer,641,1351,243372300000,0.002360951155493015,13.330546617507935,0.06378912925720215,0.002030541791821775,2,0.5540300557611881,0.3867371307387967
6,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6735420227050781,1.0,0,0.5540300557611881,0.3867371307387967
7,8,i_linear,9,23,119519125,0.3747606126051392,0.022204875946044922,0.0038003921508789062,9.602872080026107e-18,0,0.3736644404008239,0.3066646375139466
7,8,ii_twolayer,641,1351,243372300000,0.00040849640781773835,13.315234184265137,0.06334161758422852,0.0003717734424013746,1,0.3736644404008239,0.3066646375139466
7,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6897647380828857,1.0,0,0.3736644404008239,0.3066646375139466
8,8,i_linear,9,23,119519125,0.4295231478728657,0.024384498596191406,0.0031452178955078125,9.012139391210137e-18,0,0.4320566170266265,0.3972742217914905
8,8,ii_twolayer,641,1351,243372300000,0.0015329792219077741,13.269743919372559,0.06334352493286133,0.0012834613950284315,0,0.4320566170266265,0.3972742217914905
8,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6852707862854004,1.0,0,0.4320566170266265,0.3972742217914905
9,8,i_linear,9,23,119519125,0.4226977358113577,0.02745842933654785,0.0031938552856445312,1.6009716796494327e-17,0,0.4236523347257275,0.36928353205056824
9,8,ii_twolayer,641,1351,243372300000,0.00041222645767447717,13.331923246383667,0.0625908374786377,0.0003573599670982813,0,0.4236523347257275,0.36928353205056824
9,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6818528175354004,1.0,0,0.4236523347257275,0.36928353205056824
