seed,d_n,arm,dim,K,H_hat_id_bits,H_hat_shift_bits,flops_train,flops_infer,wall_train_s,wall_infer_s,grad_inf_norm,halvings
6,64,N,64,129,0.6693005307918523,2.406880291020829,11153650450,27000000,0.22557808700366877,0.05701296801271383,2.864560996061709e-18,0
6,256,X,260,521,0.6683728776265655,0.6737934589192106,172905211525,105400000,1.9585576039971784,0.20062048100226093,1.465475028537939e-17,0
6,256,S,4,9,0.6645751728053375,0.6653698393692242,123754450,3000000,0.06352589000016451,0.007213597986265086,1.1839962194341069e-17,0
6,256,N,256,513,0.6687290304911923,2.4188752433059397,167676639250,103800000,1.940359650994651,0.19657263898989186,7.236654419200671e-18,0
7,0,X,4,9,0.6636176356306817,0.6664773332686721,123754450,3000000,0.06410690100165084,0.008208016995922662,1.1241374598428295e-17,0
7,0,S,4,9,0.6636176356306817,0.6664773332686721,123754450,3000000,0.06411734900029842,0.007477006001863629,1.1241374598428295e-17,0
7,8,X,12,25,0.6660704705194613,0.6665284160761968,553800575,6200000,0.07676663200254552,0.01178047999565024,1.2795049745013171e-17,0
7,8,S,4,9,0.6660083167907966,0.6661426716606397,123754450,3000000,0.06374488299479708,0.00714618900383357,1.1336814697504664e-17,0
7,8,N,8,17,0.6788776130469524,2.3538095575568936,298769125,4600000,0.06944380200002342,0.008597522988566197,2.3997022422143116e-18,0
7,64,X,68,137,0.6663585564486776,0.6682990881002758,12529589125,28600000,0.22541371500119567,0.05864548700628802,1.55487406216471e-17,0
7,64,S,4,9,0.6653545227061817,0.667273203611468,123754450,3000000,0.06347139400895685,0.007257164994371124,1.1312594849169111e-17,0
7,64,N,64,129,0.6678353253852747,2.386079514347078,11153650450,27000000,0.21684212899708655,0.05573558699688874,2.2338334008457642e-18,0
7,256,X,260,521,0.6702287158561466,0.7004808278494504,172905211525,105400000,1.9489645830035442,0.1968269109929679,6.691654581898804e-18,0
7,256,S,4,9,0.6662646055797362,0.6675648935528068,123754450,3000000,0.06404544399993028,0.007209756993688643,1.2372180126625037e-17,0
7,256,N,256,513,0.6704938875372436,2.418884128168605,167676639250,103800000,1.9474830830004066,0.19337855900812428,5.093446977965005e-18,0
8,0,X,4,9,0.6645435359829107,0.6682516929595742,123754450,3000000,0.06519602399202995,0.008186624996596947,6.976900500759173e-18,0
8,0,S,4,9,0.6645435359829107,0.6682516929595742,123754450,3000000,0.06461626099189743,0.007524799002567306,6.976900500759173e-18,0
8,8,X,12,25,0.6702791915480172,0.6689450607161268,553800575,6200000,0.07731554600468371,0.011639903008472174,4.930009685705846e-18,0
8,8,S,4,9,0.6701783142267806,0.6677112677653902,123754450,3000000,0.06444392500270624,0.007166092997067608,1.1715046341316986e-17,0
8,8,N,8,17,0.6818859149080432,2.364143746895533,298769125,4600000,0.06922956099151634,0.0152277419983875,6.0636789131832464e-18,0
8,64,X,68,137,0.6662528993977984,0.6684855426363117,12529589125,28600000,0.2250878240010934,0.06001105900213588,1.2567771945546876e-17,0
8,64,S,4,9,0.6657616921161076,0.6671627143013814,123754450,3000000,0.06549789701239206,0.00720802899741102,4.248536938054034e-18,0
8,64,N,64,129,0.6676762092296832,2.3959551694724164,11153650450,27000000,0.22260195799754,0.055142543991678394,3.0899420186846315e-18,0
8,256,X,260,521,0.6728388007062045,0.6906723320253895,172905211525,105400000,1.9863882180070505,0.19974813600128982,1.2124209576955116e-17,0
8,256,S,4,9,0.6683996559827728,0.6682676814776805,123754450,3000000,0.06581869799993001,0.0070830689946888015,2.9232662109297504e-18,0
8,256,N,256,513,0.6730580579235851,2.4132514871065194,167676639250,103800000,1.9794338940118905,0.1718644070060691,5.980893488406809e-18,0
9,0,X,4,9,0.6651185398151378,0.6667633020808054,123754450,3000000,0.06467277300544083,0.007102173010935076,9.0127299981675e-18,0
9,0,S,4,9,0.6651185398151378,0.6667633020808054,123754450,3000000,0.06360924900218379,0.007165900999098085,9.0127299981675e-18,0
9,8,X,12,25,0.6713785550603287,0.6717449958275195,553800575,6200000,0.0768122309964383,0.011254252996877767,1.6959219223670472e-17,0
9,8,S,4,9,0.6711062915601724,0.6696570435115858,123754450,3000000,0.06399817900091875,0.007103885000105947,9.712506598413885e-18,0
9,8,N,8,17,0.682324402285439,2.34177636543989,298769125,4600000,0.06959114500205033,0.008403090003412217,1.649885350811531e-18,0
9,64,X,68,137,0.6683204371066023,0.6665565564874096,12529589125,28600000,0.22431426600087434,0.05855030099337455,1.4390575267509555e-17,0
9,64,S,4,9,0.667826278739597,0.6660590703763111,123754450,3000000,0.06440933200065047,0.007108076999429613,4.130480066669241e-18,0
9,64,N,64,129,0.6697955033415129,2.3859947042356167,11153650450,27000000,0.21510901299188845,0.05530230399745051,2.27002317787718e-18,0
9,256,X,260,521,0.6706906146929886,0.6707590916642412,172905211525,105400000,1.9618606879957952,0.18833794399688486,1.1649778960477893e-17,0
9,256,S,4,9,0.6663622297418749,0.6663701214340882,123754450,3000000,0.06408965001173783,0.007178444997407496,1.098788840843387e-17,0
9,256,N,256,513,0.6711120302430829,2.437420619070626,167676639250,103800000,1.9976286979945144,0.19342452399723697,5.149721160711542e-18,0
